Proyecto y nomenclatura;Razón Social;Cédula Jurídica
T D;T Desarrollos, S.A.;3-101-691342
;;
NVG;Novogar, S.A.;3-101-693063
;;
;;
;;
;;
;;
;;
VSP (Vistas de San Pablo);3-101-695514, S.A.;3-101-695514
;;
;;
STR (Senderos de Tres Ríos);3-101-701438, S.A.;3-101-701438
;;
;;
HPA (Heredia Parks);3-101-707610, S.A.;3-101-707610
;;
;;
;;
;;
HME (Heredia Metro);Proyectos Altos de Heredia LTYLA, S.A.;3-101-472368
;;
;;
RMO (Reserva Moravia);3-101-747864, S. A.;3-101-747864
;;
;;
Casa Modelo RMO;;
RGU (Real Guayabos);Propiedades Sena Ba, S.A.;3-101-737522
;;
;;
RTR (Ribera Tres Ríos);3-101-781386, S.A.;3-101-781386
;;
;;
VSL (Valle San Lorenzo);Gvs Kyra, SRL.;3-102-670718
;;
;;
;3-101-786864 SA (vehículo VSL);3-101-786864
;;
Proyecto Cartago (Paladin);GVS Lilia, S.R.L.;3-102-670719 
;;
GVS Holding CR S.R.L. (Paladin);GVS Holding CR, S.R.L. ;3-102-670722 
;;
HHE (Hábitat Heredia);3-101-781484, S.A.;3-101-781484
;;
;;
Propiedad Barva;3-101-781391, S.A.;3-101-781391
;;
RLI (Lindora);3-101-802628, S. A.;3-101-802628
;;
;;
USF (Úniko San Francisco);3-101-820946, S. A.;3-101-820946
;;
;;
;;
ASF (Árbora San Francisco);3-101-861274, S. A.;3-101-861274
;;
;;
;;
;;
Novogar Holding;3-101-861249, S. A.;3-101-861249
;;
NVGR Maquinaria & Equipo;NVGR Maquinaria y Equipos, S. A.;3-101-861187
;;
EMO (Eco Moravia);3-101-873996, S. A.;3-101-873996
;;
EDE (Esencia Desamparados);3-101-877955, S. A.;3-101-877955
;;
;;
;;
BSP (Bio San Pablo);3-101-887961, S. A.;3-101-887961
;;
;;
;;
